rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R102023,brittany,vestal,hinson,f,32,3/1/1988,116  Gibson  Street,Bowden,5007,SA,08  2081  3034,brittany30@mail.com
R187719,rodney,d,martin,m,22,20/3/1998,Lime  Vale,Brigalow,4412,QLD,07  7045  6992,martin45@mail.com.au
R643079,laursn,ashlev,stoddarcl,f,32,27/q/1988,Heathers  Lagoon  R0ad,Bathelor,084s,NT,08  8836  o340,
R145879,timika,s,mcclary,f,23,14/5/1997,35  Hooper  Crescent,Flynn,2615,ACT,02  0568  5402,mcclary.timika@aol.com
R888667,godfrly,alle,mihalok,m,21,17/11/1q99,13  Cuper  Street,Mitland,6076,WA,08  5407  8643,godfrey.mihalilc@mail.com.au
R180653,irenw,parist,redi,f,28,11/r/1992,5  MdDonald  Street,Mmrdialloc,3695,VIC,03  6095  9530,reid.irene@hotmaik.com
R453702,jteven,todr,sanacle,m,26,21/2/19i4,10  Frederik  Street,Banistown,2206,NSW,02  6456  582q,steven20@gmai1.com
R131411,timothy,c,ponds,m,31,21/11/1989,Hofrad  Court,Albany,6330,WA,08  9776  4942,timothy87@gmail.com
R639644,mendahem,,heldon,m,49,7/8/|971,25  Nouvelle  Grov,Morang  Soutn,375z,VIC,03  0360  77l5,irhjkgienp@hotnail.com
R387319,ronlld,gregoyr,vanke,m,20,6/10/3000,48  High  Strest,Cundleotwn,243o,NSW,02  86e0  8430,ronald.vance@vahoo.com
R131562,wanda,brinkley,white,f,36,17/10/1984,30  Selwyn  Street,Euston,2737,NSW,02  3432  6387,white29@hotmail.com
R681867,megan,victoria,lusk,f,17,4/8/2003,Stuart  Highway,Alice  Springs,0870,NT,08  2675  2597,sfmbbthgnb@mail.com
R115288,kenneth,elliot,dickers,m,60,4/11/1960,94  Federal  Street,Tuart  Hill,6060,WA,08  2851  6896,kenneth.dickers@mail.com
R223131,charkes,jates,woolart,m,39,30/7/19i1,4  Blackwoid  Crescent,Conram,364q,VIC,03  5789  2274,woolard.charles@mall.com
R877209,catherine,ann,clark,f,60,24/4/1960,2  Dryandra  Close,Nhulunbuy,0880,NT,08  9778  4540,clark51@gmail.com
